[0.000000] (-) TimerEvent: {}
[0.001053] (-) JobUnselected: {'identifier': 'arc_autonomous_ctrl'}
[0.001386] (-) JobUnselected: {'identifier': 'arc_keyboard_control'}
[0.001883] (-) JobUnselected: {'identifier': 'arc_startup'}
[0.002066] (-) JobUnselected: {'identifier': 'asio_cmake_module'}
[0.002179] (-) JobUnselected: {'identifier': 'camera_sensor'}
[0.002267] (-) JobUnselected: {'identifier': 'compressed_depth_image_transport'}
[0.002373] (-) JobUnselected: {'identifier': 'compressed_image_transport'}
[0.002602] (-) JobUnselected: {'identifier': 'image_transport_plugins'}
[0.002819] (-) JobUnselected: {'identifier': 'io_context'}
[0.003068] (-) JobUnselected: {'identifier': 'ldlidar_ros2'}
[0.003187] (-) JobUnselected: {'identifier': 'motor_controller'}
[0.003262] (-) JobUnselected: {'identifier': 'serial_driver'}
[0.003336] (-) JobUnselected: {'identifier': 'servo_controller'}
[0.003407] (-) JobUnselected: {'identifier': 'steering_test_pkg'}
[0.003478] (-) JobUnselected: {'identifier': 'theora_image_transport'}
[0.003548] (-) JobUnselected: {'identifier': 'udp_driver'}
[0.003618] (-) JobUnselected: {'identifier': 'v4l2_camera'}
[0.003687] (-) JobUnselected: {'identifier': 'vesc'}
[0.003758] (-) JobUnselected: {'identifier': 'vesc_ackermann'}
[0.003835] (-) JobUnselected: {'identifier': 'vesc_driver'}
[0.003906] (-) JobUnselected: {'identifier': 'vesc_msgs'}
[0.003977] (-) EventReactorShutdown: {}
