[0.000000] (-) TimerEvent: {}
[0.001127] (-) JobUnselected: {'identifier': 'arc_autonomous_ctrl'}
[0.001471] (-) JobUnselected: {'identifier': 'arc_keyboard_control'}
[0.001895] (-) JobUnselected: {'identifier': 'arc_startup'}
[0.002082] (-) JobUnselected: {'identifier': 'asio_cmake_module'}
[0.002199] (-) JobUnselected: {'identifier': 'camera_calibration_parsers'}
[0.002288] (-) JobUnselected: {'identifier': 'camera_info_manager'}
[0.002399] (-) JobUnselected: {'identifier': 'camera_sensor'}
[0.002675] (-) JobUnselected: {'identifier': 'compressed_depth_image_transport'}
[0.002911] (-) JobUnselected: {'identifier': 'compressed_image_transport'}
[0.003173] (-) JobUnselected: {'identifier': 'image_common'}
[0.003295] (-) JobUnselected: {'identifier': 'image_transport'}
[0.003370] (-) JobUnselected: {'identifier': 'image_transport_plugins'}
[0.003444] (-) JobUnselected: {'identifier': 'io_context'}
[0.003517] (-) JobUnselected: {'identifier': 'ldlidar_ros2'}
[0.003589] (-) JobUnselected: {'identifier': 'motor_controller'}
[0.003660] (-) JobUnselected: {'identifier': 'serial_driver'}
[0.003730] (-) JobUnselected: {'identifier': 'servo_controller'}
[0.003801] (-) JobUnselected: {'identifier': 'steering_test_pkg'}
[0.003872] (-) JobUnselected: {'identifier': 'theora_image_transport'}
[0.003947] (-) JobUnselected: {'identifier': 'udp_driver'}
[0.004018] (-) JobUnselected: {'identifier': 'v4l2_camera'}
[0.004091] (-) JobUnselected: {'identifier': 'vesc'}
[0.004166] (-) JobUnselected: {'identifier': 'vesc_ackermann'}
[0.004240] (-) JobUnselected: {'identifier': 'vesc_driver'}
[0.004409] (-) JobUnselected: {'identifier': 'vesc_msgs'}
[0.004574] (-) EventReactorShutdown: {}
