[0.000000] (-) TimerEvent: {}
[0.001107] (-) JobUnselected: {'identifier': 'arc_autonomous_ctrl'}
[0.001443] (-) JobUnselected: {'identifier': 'arc_keyboard_control'}
[0.001861] (-) JobUnselected: {'identifier': 'arc_startup'}
[0.002039] (-) JobUnselected: {'identifier': 'asio_cmake_module'}
[0.002153] (-) JobUnselected: {'identifier': 'camera_calibration_parsers'}
[0.002239] (-) JobUnselected: {'identifier': 'camera_info_manager'}
[0.002344] (-) JobUnselected: {'identifier': 'camera_sensor'}
[0.002579] (-) JobUnselected: {'identifier': 'compressed_depth_image_transport'}
[0.002794] (-) JobUnselected: {'identifier': 'compressed_image_transport'}
[0.003044] (-) JobUnselected: {'identifier': 'image_common'}
[0.003164] (-) JobUnselected: {'identifier': 'image_transport'}
[0.003240] (-) JobUnselected: {'identifier': 'image_transport_plugins'}
[0.003311] (-) JobUnselected: {'identifier': 'io_context'}
[0.003382] (-) JobUnselected: {'identifier': 'ldlidar_ros2'}
[0.003451] (-) JobUnselected: {'identifier': 'motor_controller'}
[0.003521] (-) JobUnselected: {'identifier': 'serial_driver'}
[0.003590] (-) JobUnselected: {'identifier': 'servo_controller'}
[0.003660] (-) JobUnselected: {'identifier': 'steering_test_pkg'}
[0.003729] (-) JobUnselected: {'identifier': 'theora_image_transport'}
[0.003803] (-) JobUnselected: {'identifier': 'udp_driver'}
[0.003872] (-) JobUnselected: {'identifier': 'v4l2_camera'}
[0.003941] (-) JobUnselected: {'identifier': 'vesc'}
[0.004009] (-) JobUnselected: {'identifier': 'vesc_ackermann'}
[0.004079] (-) JobUnselected: {'identifier': 'vesc_driver'}
[0.004148] (-) JobUnselected: {'identifier': 'vesc_msgs'}
[0.004218] (-) EventReactorShutdown: {}
